Iteration,Residue,Time_ms(refactorization),Time_ms(solver)
2,1.31233e-12,52.5395,16.8054
3,6.82249e-13,52.4432,16.7772
4,7.60836e-11,53.9174,16.7601
5,2.08635e-10,52.4504,16.7753
6,5.89313e-13,52.4763,16.7898
7,6.69605e-09,52.4416,16.7578
8,1.93616e-08,52.4096,16.7471
9,4.98573e-07,52.4644,16.7461
10,5.5238e-08,52.7286,16.7681
11,5.29703e-09,52.7229,16.777
12,4.30409e-08,52.4354,16.7782
13,4.05601e-07,52.4633,16.7814
14,8.75597e-08,52.4542,16.7819
15,1.35293e-08,52.4475,16.7258
16,1.63736e-07,52.4972,16.7739
17,2.29982e-08,52.4428,16.747
18,2.0815e-07,52.4532,16.7251
19,5.69507e-08,52.4244,16.7947
20,3.50328e-08,52.4546,16.7824
21,8.11355e-09,52.4385,16.785
22,3.06962e-09,52.4476,16.742
23,4.39507e-10,52.4372,16.7663
24,6.2536e-11,52.4365,16.7401
25,1.4929e-11,53.0194,16.8032
26,1.2507e-12,52.4143,16.7422
27,2.66321e-12,52.4865,16.7471
28,6.43307e-12,52.4448,16.7922
29,1.13954e-11,52.4577,16.7484
30,2.20695e-12,52.4419,16.7703
31,7.32283e-13,52.4643,16.726
32,3.2961e-12,52.4182,16.7499
33,2.53021e-11,52.4373,16.7532
34,1.1762e-12,52.474,16.7264
35,1.30527e-12,52.4128,16.7962
36,2.09874e-10,52.453,16.7381
37,2.70761e-11,52.4147,16.7939
38,4.92034e-12,52.5042,16.7944
39,1.76279e-12,52.4197,16.7573
40,4.78738e-12,52.7079,16.7829
41,2.87806e-10,52.441,16.7752
42,8.90995e-12,52.4118,16.7333
43,1.67696e-11,52.4894,16.7286
44,9.19765e-07,52.4729,16.768
45,8.29356e-12,52.4142,16.7491
46,1.13432e-09,52.4034,16.771
47,4.93457e-10,52.4486,16.7785
48,2.23784e-11,52.4329,16.7261
49,1.37372e-07,52.4455,16.7609
50,7.87862e-08,53.5563,16.7362
51,1.02385e-07,52.45,16.7478
