launch_id,invocations,grid_size,cycles,dram_kb,l1_req,l2_req
1,5,20.000000,,327.526400,1653.800000,8065.800000
2,5,21.000000,1817.005556,313.036800,1687.600000,7724.000000
3,3,23.000000,1894.440741,308.224000,1774.333333,7485.666667
4,2,14.000000,2096.820988,5.312000,227.000000,43.500000
5,31,16.000000,305.189815,5.561806,259.000000,50.580645
6,6,17.000000,333.317503,5.674667,275.000000,55.333333
7,3,18.000000,352.510802,5.717333,291.000000,54.333333
8,2,19.000000,374.277778,5.888000,307.000000,68.500000
9,1,20.000000,390.486111,6.272000,323.000000,61.000000
10,3,21.000000,412.990741,5.930667,339.000000,64.000000
11,1,22.000000,433.262346,6.656000,355.000000,67.000000
12,1,23.000000,448.018519,6.144000,371.000000,70.000000
