launch_id,invocations,grid_size,cycles,dram_kb,l1_req,l2_req
1,1,420.000000,21571.046296,10782.4,47074.000000,241726.000000
2,1,425.000000,22940.555556,11427.6,48985.000000,256246.000000
3,1,432.000000,21889.185185,10839.8,47946.000000,243023.000000
4,1,435.000000,22968.675926,11436.4,49672.000000,255949.000000
5,1,450.000000,22563.009259,11039.4,48689.000000,246442.000000
6,1,455.000000,22900.712963,11665.4,50752.000000,260297.000000
7,1,462.000000,23239.657407,11143.1,49387.000000,249686.000000
8,1,475.000000,23094.231481,11854.9,51859.000000,264701.000000
9,1,476.000000,24453.546296,12801.5,54650.000000,276360.000000
10,1,480.000000,23342.138889,11295.9,50400.000000,251833.000000
11,1,492.000000,23170.861111,11293.4,50780.000000,252634.000000
12,1,495.000000,23504.120370,12144.1,53548.000000,270367.000000
13,1,496.000000,24400.537037,13118.5,56054.000000,280924.000000
14,1,510.000000,23805.879630,12174.8,54346.000000,271713.000000
15,1,512.000000,24458.824074,13265.5,57342.000000,284724.000000
16,1,525.000000,24202.685185,12249.7,55139.000000,272416.000000
17,1,532.000000,24650.157407,13341.6,58316.000000,284923.000000
18,1,545.000000,23682.398148,12246.7,56260.000000,271802.000000
19,1,549.000000,25758.259259,15012.3,62914.000000,315320.000000
20,1,552.000000,24297.666667,13292,59075.000000,282664.000000
21,1,575.000000,24120.814815,12692.6,58495.000000,281500.000000
22,1,592.000000,24424.935185,13790.1,61535.000000,291297.000000
23,1,594.000000,27440.777778,15850.3,66492.000000,331869.000000
24,1,616.000000,25573.740741,14186.1,63522.000000,301029.000000
25,1,621.000000,27112.870370,16466.6,68880.000000,344721.000000
26,1,648.000000,26240.175926,14677.3,65855.000000,310859.000000
27,1,657.000000,27426.379630,16983.1,72248.000000,353238.000000
28,1,680.000000,25848.962963,14860.8,68012.000000,314659.000000
29,1,681.000000,28249.092593,17559.7,74765.000000,366933.000000
30,1,705.000000,28025.851852,17787.9,76416.000000,370733.000000
31,1,708.000000,26690.712963,15090.5,69293.000000,316854.000000
32,1,732.000000,27074.416667,17590,76462.000000,361567.000000
33,1,819.000000,29190.231481,19370.7,84080.000000,401118.000000
34,1,870.000000,30836.972222,21014,90537.000000,439377.000000
35,1,939.000000,31711.231481,22064.1,96485.000000,462972.000000
36,1,981.000000,31544.555556,22680.7,101173.000000,480183.000000
37,1,1029.000000,33214.685185,23363.6,105739.000000,491414.000000
38,1,1140.000000,35286.472222,24704.6,114343.000000,521926.000000
39,1,1389.000000,38829.101852,27759.1,137498.000000,587629.000000
40,1,1560.000000,39711.092593,29214.9,151950.000000,622469.000000
41,1,1650.000000,46544.611111,34135.9,163818.000000,735558.000000
42,1,1689.000000,45300.694444,32447.7,163158.000000,694228.000000
43,1,1809.000000,50387.601852,37458.1,172801.000000,803081.000000
44,1,2106.000000,56261.990741,39632.9,193304.000000,864734.000000
45,1,2490.000000,61345.879630,41508.8,204262.000000,903858.000000
46,1,2610.000000,66225.046296,43500,221968.000000,955267.000000
