launch_id,invocations,grid_size,cycles,dram_kb,l1_req,l2_req
1,1,47.000000,,48.512000,1175.000000,995.000000
2,2,60.000000,3282.833333,59.840000,1500.000000,1257.500000
3,8,61.000000,4289.606481,60.416000,1524.250000,1289.000000
4,2,62.000000,4345.711806,60.544000,1547.000000,1305.000000
5,2,79.000000,4485.689815,76.480000,1975.000000,1667.500000
6,8,80.000000,5577.009259,76.992000,1999.250000,1676.500000
7,8,81.000000,5757.064815,78.032000,2024.250000,1703.625000
8,8,82.000000,5791.969907,78.944000,2049.250000,1720.250000
9,8,83.000000,5871.268519,80.032000,2074.250000,1746.625000
10,3,84.000000,5981.752315,80.725333,2098.000000,1770.666667
11,50,1.000000,5949.774691,4.213760,19.000000,4.120000
