System_ID,FGMRES_init_nrm,FGMRES_final_nrm,FGMRES_error_nrm,Effective_Stability,Relative_residual
1,2.08703023835781e-10,1.02236443318354e-20,0.00575881807919659,1.41421356239318,1.95667654018154e-11
2,2.19654288819694e-11,1.419091057352e-22,4.4193278660059e-05,6.68595436580632e-12,1.22002295127809e-13
3,8.70278421212371e-13,6.85009491073238e-24,2.74135286265764e-07,9.90889278706154e-12,1.17165028336027e-14
4,9.68323681884533e-13,2.03427113150903e-22,3.75207232870065e-06,5.0338792510423e-10,4.9729665564357e-15
5,1.0603060635059e-12,4.35100128537842e-24,9.15925375204119e-08,4.8578071334631e-12,2.5909452664097e-14
6,8.54484083603539e-13,6.16472876383772e-24,1.3420472232575e-07,7.96909959870361e-12,3.14901693342749e-14
7,4.16023332226321e-14,4.34573558059699e-24,1.09788854406198e-06,1.04459984244729e-10,2.73885990666007e-16
8,4.31688759999773e-11,1.35448177861813e-23,1.23204155692536e-05,1.41421356188532,1.12711439510675e-14
9,2.51339902483963e-11,4.43059648003296e-23,1.81768653788665e-05,1.41421356203619,3.73243357542373e-14
10,3.81499047811549e-11,3.09983759158623e-23,4.88778731118826e-06,1.41421356326045,3.23182817046964e-14
11,1.83261013338291e-11,4.1302505604129e-21,2.96970747178381e-06,2.31817601551452e-10,5.20611184093587e-14
12,2.36771285907737e-12,4.91652189450456e-21,3.90153305097671e-06,2.11240254451471e-09,4.35203408824112e-15
13,1.15823932413788e-10,4.38693460471733e-23,5.70552082951012e-06,1.41421356331444,3.57017106658289e-14
14,1.13761573657936e-11,4.59742944154019e-21,9.10437142972161e-07,4.07728124865492e-10,4.80504465493425e-14
15,1.25660000836306e-10,3.07758701636442e-23,4.15785912033536e-06,1.41421356197054,3.69838289268421e-14
16,6.92849165424138e-11,7.74484439287106e-21,1.64358747590237e-06,1.50781897694715e-10,5.93699450548337e-14
17,6.31349539933175e-12,1.30609815029858e-21,5.78488280977589e-07,2.73876029587672e-10,1.2520395000169e-14
18,1.99846782816221e-10,7.69650082906771e-21,1.19721748905608e-06,7.94530805552173e-11,5.08639145595642e-14
19,6.27191506655804e-11,2.5542159842531e-20,6.76179217865946e-07,4.16397678583082e-10,6.70355950817764e-14
20,2.44894350265775e-10,1.18251301571686e-19,3.87701298453527e-06,5.03027889492587e-10,6.0626833239298e-14
21,1.28406674256007e-10,1.60282118418266e-19,8.76973965664636e-07,1.26381314766959e-09,5.28744731314295e-14
22,2.18317878003076e-10,1.44008876984375e-22,6.32463690804269e-06,1.41421354794088,5.84568469237246e-14
23,2.62201204088065e-10,3.18846662159874e-21,6.22177336299657e-07,1.60383508717297e-11,4.55230509251247e-14
24,1.7864405412055e-11,2.02954633507515e-21,7.53036087083579e-08,1.13955224038747e-10,4.25431253952023e-14
25,2.67340079346775e-11,8.2658597994575e-21,4.18986169521743e-08,3.10641493831153e-10,1.25870637861537e-14
26,1.86028526677697e-11,3.18638904709014e-21,3.75322665625662e-09,1.71598051335939e-10,3.79026238196088e-15
27,4.91221806906084e-13,5.39068076112695e-23,1.36481593733056e-07,3.53493208026542e-10,5.54589760592912e-16
28,5.94478225418826e-13,9.85633855468163e-21,1.23262997490152e-06,2.18545620344287e-08,3.05605110642573e-16
29,5.83413448929486e-12,3.06026809847719e-21,2.95393769270417e-07,2.2214748369588e-09,1.80361611959807e-16
30,2.19148757111786e-13,7.82423718628157e-24,2.41884644637672e-08,7.33779804356241e-11,1.21903068713647e-16
31,2.08925311714028e-13,3.70180569391242e-23,3.05915690578421e-08,1.7891952780018e-10,1.14942307469099e-16
32,1.1108382870039e-13,3.23808646369733e-24,7.41009679430876e-09,4.42253134435157e-11,1.63840161850162e-16
33,2.24416986982239e-13,2.3392443875531e-23,1.53276818535235e-08,1.07394357001849e-10,1.27388114809319e-16
34,3.95152518090177e-14,1.96216780893372e-23,2.30750718443356e-09,4.96583685552935e-10,9.04595179259769e-17
35,3.45428484418916e-13,4.29093388141517e-23,9.85674129932701e-09,2.0892051781186e-10,8.06276279676942e-17
36,1.19058157139845e-13,1.36771134993363e-23,1.58846232659762e-09,1.49230205952138e-10,1.03972404079596e-16
37,6.22830046134458e-13,1.49342537365694e-22,2.75870988644766e-10,2.39988980138151e-10,6.54398051210204e-16
38,1.18564340731244e-12,8.26667696126728e-22,9.35655230873418e-11,7.37479160734355e-10,2.53120663047944e-16
39,1.30128781626852e-13,4.32404112771661e-23,1.61237051443394e-08,3.52327100125305e-10,7.91908556518248e-17
40,6.81488698213368e-13,2.25533779152583e-21,1.12728917033993e-07,3.54619228014425e-09,1.09760947591205e-16
41,1.83051307651103e-12,3.81017724069536e-22,6.36417331584437e-07,2.08944196954512e-10,1.09243024983396e-16
42,6.60751954988402e-12,4.75788821035448e-21,5.85701283292345e-08,8.89988526572215e-10,1.1335622858531e-16
43,5.68419028405808e-12,5.45665585842906e-26,3.44071152497544e-07,1.41421364533605,1.00590562739758e-16
44,6.19029329035775e-12,4.19629602905315e-26,2.30311294263492e-07,1.4142135212815,1.18366469221198e-16
45,3.3866652645154e-10,4.88898629279922e-23,6.43407201951055e-08,1.41421386616848,8.02591591512055e-17
46,1.39320530939414e-11,7.11058881145457e-26,4.88003187993045e-06,1.41421345196678,7.73016557574536e-17
47,2.13485041445156e-11,5.73588637338435e-24,1.57800798846694e-05,1.41421369634167,6.76596380899452e-17
48,1.4347535014859e-14,1.48763299567208e-22,1.51265191122543e-07,1.03955673582388e-08,3.78272326819435e-18
49,6.65236223174357e-14,3.33746984250364e-22,2.73347173426384e-08,1.30838742939407e-08,2.74426514480058e-19
50,1.33814855679997e-11,2.88754357856138e-23,4.33931753910136e-06,1.41489352367631,2.43936518995406e-18
51,4.83572458848012e-11,9.13924796389393e-25,2.51290831385783e-06,1.4141838628596,2.30802750311479e-16
52,1.91484594788252e-07,5.85270660131577e-21,0.00054025701185179,1.41358285388282,1.21296620233155e-16
